Distribution of honor card value
Points, Hands, Probability
0, 2310789600, 0.003638961035
1, 5006710800, 0.007884415576
2, 8611542576, 0.013561194790
3, 15636342960, 0.024623636336
4, 24419055136, 0.038454383795
5, 32933031040, 0.051861933564
6, 41619399184, 0.065540961378
7, 50979441968, 0.080280871483
8, 56466608128, 0.088921893516
9, 59413313872, 0.093562275913
10, 59723754816, 0.094051148850
11, 56799933520, 0.089446804184
12, 50971682080, 0.080268651448
13, 43906944752, 0.069143318419
14, 36153374224, 0.056933231862
15, 28090962724, 0.044236791954
16, 21024781756, 0.033109185525
17, 14997082848, 0.023616948995
18, 10192504020, 0.016050844688
19, 6579838440, 0.010361729038
20, 4086538404, 0.006435356131
21, 2399507844, 0.003778671822
22, 1333800036, 0.002100427646
23, 710603628, 0.001119036936
24, 354993864, 0.000559033518
25, 167819892, 0.000264277651
26, 74095248, 0.000116682938
27, 31157940, 0.000049066574
28, 11790760, 0.000018567729
29, 4236588, 0.000006671650
30, 1396068, 0.000002198485
31, 388196, 0.000000611319
32, 109156, 0.000000171896
33, 22360, 0.000000035212
34, 4484, 0.000000007061
35, 624, 0.000000000983
36, 60, 0.000000000094
37, 4, 0.000000000006

Distribution of honor card vectors
Index, Aces, Kings, Queens, Jacks, Others, Value, Hands, Probability
1,0,0,0,0,13,0,2310789600,0.003638961035
2,0,0,0,1,12,1,5006710800,0.007884415576
3,0,0,0,2,11,2,3604831776,0.005676779214
4,0,0,0,3,10,3,1016747424,0.001601142855
5,0,0,0,4,9,4,94143280,0.000148253968
6,0,0,1,0,12,2,5006710800,0.007884415576
7,0,0,1,1,11,3,9612884736,0.015138077905
8,0,0,1,2,10,4,6100484544,0.009606857132
9,0,0,1,3,9,5,1506292480,0.002372063489
10,0,0,1,4,8,6,121041360,0.000190612245
11,0,0,2,0,11,4,3604831776,0.005676779214
12,0,0,2,1,10,5,6100484544,0.009606857132
13,0,0,2,2,9,6,3389158080,0.005337142851
14,0,0,2,3,8,7,726248160,0.001143673468
15,0,0,2,4,7,8,50086080,0.000078874032
16,0,0,3,0,10,6,1016747424,0.001601142855
17,0,0,3,1,9,7,1506292480,0.002372063489
18,0,0,3,2,8,8,726248160,0.001143673468
19,0,0,3,3,7,9,133562880,0.000210330753
20,0,0,3,4,6,10,7791168,0.000012269294
21,0,0,4,0,9,8,94143280,0.000148253968
22,0,0,4,1,8,9,121041360,0.000190612245
23,0,0,4,2,7,10,50086080,0.000078874032
24,0,0,4,3,6,11,7791168,0.000012269294
25,0,0,4,4,5,12,376992,0.000000593676
26,0,1,0,0,12,3,5006710800,0.007884415576
27,0,1,0,1,11,4,9612884736,0.015138077905
28,0,1,0,2,10,5,6100484544,0.009606857132
29,0,1,0,3,9,6,1506292480,0.002372063489
30,0,1,0,4,8,7,121041360,0.000190612245
31,0,1,1,0,11,5,9612884736,0.015138077905
32,0,1,1,1,10,6,16267958784,0.025618285686
33,0,1,1,2,9,7,9037754880,0.014232380936
34,0,1,1,3,8,8,1936661760,0.003049795915
35,0,1,1,4,7,9,133562880,0.000210330753
36,0,1,2,0,10,7,6100484544,0.009606857132
37,0,1,2,1,9,8,9037754880,0.014232380936
